X,Y,Name,description,altitudeMode,ADDRESS,PKNRD,LONGNAME,LINES,STATION_ID,POINT_X,POINT_Y,ADA,GTFS,Field_1,Latitude,Longitude,Accuracy Score,Zip
-87.68736438,41.91615743,Western,,clampToGround,1909 N. Western Avenue,No,Western/Milwaukee,Blue Line (O'Hare),670,1160063.3,1912699.749,ADA Accessible,40670,Western,41.916306,-87.6877,1,60647
-87.61832411,41.79517665,Garfield,,clampToGround,320 E. Garfield Boulevard,Yes,Garfield-South Elevated,Green Line,510,1179221.196,1868763.718,ADA Accessible,40510,Garfield,41.795347,-87.618379,1,60615
-87.68058737,41.82956009,35th/Archer,,clampToGround,3528 S. Leavitt Street,Yes,35th/Archer,Orange Line,120,1162147.779,1881157.787,ADA Accessible,40120,35th/Archer,41.829562,-87.680498,1,60609
-87.70542796,41.85413059,Kedzie,,clampToGround,1944 S. Kedzie Avenue,No,Kedzie-Douglas,Pink,1040,1155312.299,1890060.722,ADA Accessible,41040,Kedzie,41.854181,-87.705777,1,60623
-87.64964223,41.87551621,UIC-Halsted,,clampToGround,430 S. Halsted Street,No,UIC-Halsted,Blue Line,350,1170448.2,1897969.675,ADA Accessible,40350,UIC-Halsted,41.87549,-87.649196,1,60607
-87.63172208,41.87556763,LaSalle,,clampToGround,150 W. Congress Parkway,No,LaSalle,Blue Line,1340,1175328.495,1898027.797,Not ADA  Accessible,41340,LaSalle,41.875562,-87.631985,1,60605
-87.65264431,41.91821657,Armitage,,clampToGround,944 W. Armitage Avenue,No,Armitage,"Brown, Purple (Express)",660,1169507.151,1913523.191,ADA Accessible,40660,Armitage,41.918285,-87.652516,1,60614
-87.72540377,41.88541198,Pulaski,,clampToGround,4000 W. Lake Street,No,Pulaski-Lake,Green Line (Lake),30,1149789.473,1901420.43,ADA Accessible,40030,Pulaski,41.885258,-87.72531,1,60624
-87.71652283,41.88490438,Conservatory,,clampToGround,3631 W. Lake Street,No,Conservatory-Central Park,Green Line (Lake),1670,1152209.095,1901252.718,ADA Accessible,41670,Conservatory,41.885066,-87.715282,0.99,60624
-87.65362593,41.947428,Addison,,clampToGround,940 W. Addison Street,No,Addison-North Main,Red Line,1420,1169155.598,1924165.785,ADA Accessible,41420,Addison,41.947495,-87.653631,1,60613
-87.62929566,41.87818252,Jackson,,clampToGround,328 S. Dearborn,No,Jackson/Dearborn,Blue Line,70,1175981.497,1898986.072,ADA Accessible,40070,Jackson,41.878026,-87.629099,1,60604
-87.67832942,42.02761185,South Boulevard,,clampToGround,601 W. South Boulevard,No,South Boulevard,"Purple Line, Evanston Express",840,1162211.833,1953332.902,Not ADA  Accessible,40840,South Boulevard,42.027666,-87.678032,1,60202
-87.65884029,41.98350422,Bryn Mawr,,clampToGround,1119 W. Bryn Mawr Avenue,No,Bryn Mawr,Red Line,1380,1167633.603,1937300.913,Not ADA  Accessible,41380,Bryn Mawr,41.98349,-87.658846,1,60660
-87.63385353,41.88269502,Washington/Wells,,clampToGround,100 N. Wells Street,No,Washington/Wells,"Brown, Orange, Pink, Purple (Express)",730,1174726.839,1900620.274,ADA Accessible,40730,Washington/Wells,41.882633,-87.633884,1,60606
-87.6260979,41.87951022,Adams/Wabash,,clampToGround,201 S. Wabash Avenue,No,Adams/Wabash,"Brown, Orange, Pink,  Purple (Express), Green",680,1176848.367,1899477.045,Not ADA  Accessible,40680,Adams/Wabash,41.879519,-87.626116,1,60604
-87.80317599,41.8868483,Harlem,,clampToGround,1 S. Harlem Avenue,No,Harlem-Lake,Green Line (Lake),20,1128608.76,1901803.396,ADA Accessible,40020,Harlem,41.886559,-87.803179,1,60302
-87.62441475,41.72237598,95/Dan Ryan,,clampToGround,14 W. 95th Street,No,95th/Dan Ryan,Red Line,450,1177778.981,1842222.006,ADA Accessible,40450,95/Dan Ryan,41.722358,-87.624459,1,60628
-87.63116917,41.79541826,Garfield,,clampToGround,220 W. Garfield Boulevard,No,Garfield-Dan Ryan,Red Line,1170,1175717.82,1868822.887,ADA Accessible,41170,Garfield,41.795454,-87.631192,1,60609
-87.61903578,41.81646322,43rd,,clampToGround,314 E. 43rd Street,No,43rd,Green Line,1270,1178962.668,1876518.817,ADA Accessible,41270,43rd,41.816387,-87.619222,1,60653
-87.72917727,41.95294026,Irving Park,,clampToGround,4131 W. Irving Park Road,No,Irving Park-O'Hare,Blue Line,550,1148588.589,1926020.54,Not ADA  Accessible,40550,Irving Park,41.952841,-87.729002,1,60641
-87.6293777,41.88070346,Monroe,,clampToGround,114 S. Dearborn,No,Monroe/Dearborn,Blue Line,790,1175951.621,1899904.518,Not ADA  Accessible,40790,Monroe,41.880879,-87.629754,1,60603
-87.71314204,41.96792815,Kimball,,clampToGround,4755 N. Kimball Avenue,Yes,Kimball,Brown Line,1290,1152910.876,1931513.337,ADA Accessible,41290,Kimball,41.967679,-87.712924,1,60625
-87.70884379,41.96609261,Kedzie,,clampToGround,4648 N. Kedzie Avenue,No,Kedzie-Ravenswood,Brown Line,1180,1154084.662,1930852.948,ADA Accessible,41180,Kedzie,41.966011,-87.708635,1,60625
-87.67394588,41.87563543,Medical District,,clampToGround,430 S. Damen Avenue,No,Illinois Medical District,Blue Line,810,1163828.915,1897961.332,ADA Accessible,40810,Medical District,41.875677,-87.673788,1,60612
-87.77678527,41.87088639,Austin,,clampToGround,1050 S. Austin Blvd,No,Austin-Congress,Blue Line,10,1135832.541,1896032.408,Not ADA  Accessible,40010,Austin,41.870499,-87.777002,1,60304
-87.70854139,41.92972804,Logan Square,,clampToGround,2620 N. Milwaukee Av,No,Logan Square,Blue Line,1020,1154263.501,1917602.197,ADA Accessible,41020,Logan Square,41.929578,-87.708694,1,60647
-87.6185016,41.80209158,51st,,clampToGround,314 E. 51st Street,No,51st,Green Line,130,1179151.842,1871283.076,ADA Accessible,40130,51st,41.801927,-87.618506,1,60615
-87.66531166,41.83935588,Ashland,,clampToGround,3011 S. Ashland Avenue,No,Ashland-Midway,Orange Line,1060,1166283.244,1884759.338,ADA Accessible,41060,Ashland,41.83939,-87.665211,1,60608
-87.66916012,41.85790771,18th,,clampToGround,1710 W. 18th Street,No,18th,Pink,830,1165182.263,1891511.435,ADA Accessible,40830,18th,41.857983,-87.66925,1,60608
-87.68517922,41.85439684,Western,,clampToGround,2009 S. Western Avenue,No,Western-Douglas,Pink,740,1160828.021,1890198.733,ADA Accessible,40740,Western,41.854385,-87.685208,1,60608
-87.68354293,42.04771009,Davis,,clampToGround,1612 N. Benson Avenue,No,Davis,"Purple Line, Evanston Express",50,1160739.716,1960646.079,ADA Accessible,40050,Davis,42.047628,-87.683656,1,60201
-87.83802599,41.98429406,Cumberland,,clampToGround,5800 N. Cumberland Avenue,Yes,Cumberland,Blue Line,230,1118914.131,1937256.046,ADA Accessible,40230,Cumberland,41.984352,-87.838046,1,60631
-87.62517835,41.75041234,79th,,clampToGround,15 W. 79th Street,No,79th,Red Line,240,1177486.459,1852436.466,ADA Accessible,40240,79th,41.750524,-87.625241,1,60620
-87.9018484,41.97887674,O'Hare,,clampToGround,1000 O'Hare Drive,No,O'Hare Airport,Blue Line,890,1101572.003,1935188.075,ADA Accessible,40890,O'Hare,41.977933,-87.899979,0.97,60666
-87.65338049,41.93975075,Belmont,,clampToGround,945 W. Belmont Avenue,No,Belmont-North Main,"Red, Brown, Purple (Express)",1320,1169244.56,1921368.701,ADA Accessible,41320,Belmont,41.939743,-87.653605,1,60657
-87.67289245,42.01906322,Howard,,clampToGround,1649 W. Howard Street,Yes,Howard,"Red, Yellow, Purple, Evanston Express",900,1163713.08,1950229.068,ADA Accessible,40900,Howard,42.019051,-87.673017,1,60626
-87.75498649,41.88716323,Laramie,,clampToGround,5148 W. Lake Street,No,Laramie,Green Line (Lake),700,1141729.753,1902002.905,ADA Accessible,40700,Laramie,41.887213,-87.754597,1,60644
-87.76564951,41.88738901,Central,,clampToGround,350 N. Central Avenue,No,Central-Lake,Green Line (Lake),280,1138825.735,1902065.793,ADA Accessible,40280,Central,41.887021,-87.765685,1,60644
